Strike_Price,Buy_Sell,Traded_Qty,TotalBuy,TotalSell,Traded_Price,ComType,User_Id
0,Buy,1,0,0,2934.5,Future,
0,Sell,1,0,0,2934.8,Future,
0,Sell,1,0,0,2934,Future,
0,Sell,1,0,0,2935.5,Future,
0,Sell,1,0,0,2936,Future,
0,Sell,1,0,0,2937.2,Future,
0,Buy,1,0,0,2934.9,Future,
0,Buy,1,0,0,2934.4,Future,
0,Buy,1,0,0,2936.2,Future,
0,Sell,1,0,0,2935.7,Future,
0,Buy,1,0,0,2933,Future,
0,Buy,1,0,0,2934,Future,
0,Buy,1,0,0,2935.5,Future,
0,Buy,1,0,0,2935.8,Future,
0,Buy,1,0,0,2936.6,Future,
0,Sell,1,0,0,2937.3,Future,
0,Sell,1,0,0,2937,Future,
0,Buy,1,0,0,2936,Future,
0,Sell,1,0,0,2936.8,Future,
0,Sell,1,0,0,2933.3,Future,
0,Sell,1,0,0,2934.5,Future,
0,Buy,1,0,0,2934,Future,
0,Buy,1,0,0,2932.3,Future,
0,Sell,1,0,0,2927,Future,
0,Sell,1,0,0,2926.8,Future,
0,Buy,1,0,0,2926.8,Future,
0,Buy,1,0,0,2926.4,Future,
0,Sell,1,0,0,2927.7,Future,
0,Sell,1,0,0,2926.5,Future,
0,Buy,1,0,0,2926.8,Future,
0,Buy,1,0,0,2926.6,Future,
0,Buy,1,0,0,2929.7,Future,
0,Sell,1,0,0,2931.5,Future,
0,Buy,1,0,0,2930.8,Future,
0,Sell,1,0,0,2931.6,Future,
0,Buy,1,0,0,2930.8,Future,
0,Sell,1,0,0,2931.8,Future,
0,Sell,1,0,0,2933.4,Future,
0,Sell,1,0,0,2933,Future,
0,Sell,1,0,0,2932.6,Future,
0,Sell,1,0,0,2931.3,Future,
0,Sell,1,0,0,2931.6,Future,
0,Buy,1,0,0,2930.6,Future,
0,Buy,1,0,0,2930.3,Future,
0,Buy,1,0,0,2931.5,Future,
0,Buy,1,0,0,2932.1,Future,
0,Buy,1,0,0,2932,Future,
0,Buy,1,0,0,2931,Future,
0,Sell,1,0,0,2932.8,Future,
0,Sell,1,0,0,2933.5,Future,
0,Sell,1,0,0,2933.8,Future,
0,Buy,1,0,0,2925.1,Future,
0,Buy,1,0,0,2925.4,Future,
0,Sell,1,0,0,2926.8,Future,
0,Sell,1,0,0,2929.4,Future,
0,Sell,1,0,0,2930.7,Future,
0,Sell,1,0,0,2931.3,Future,
0,Sell,1,0,0,2931.4,Future,
0,Buy,1,0,0,2930.4,Future,
0,Buy,1,0,0,2930,Future,
0,Sell,1,0,0,2929.5,Future,
0,Buy,1,0,0,2928.4,Future,
0,Buy,1,0,0,2928.3,Future,
0,Sell,25,0,0,9377.25,Future,
0,Sell,30,0,0,9410,Future,
0,Sell,1,0,0,9363,Future,
0,Sell,1,0,0,9363,Future,
0,Sell,1,0,0,9363,Future,
0,Sell,1,0,0,9360.5,Future,
0,Sell,1,0,0,9360.5,Future,
0,Sell,1,0,0,9361,Future,
0,Sell,1,0,0,9361.5,Future,
0,Sell,1,0,0,9361,Future,
0,Sell,1,0,0,9361.5,Future,
0,Sell,1,0,0,9361,Future,
0,Sell,2,0,0,9361.5,Future,
0,Sell,1,0,0,9361.5,Future,
0,Sell,2,0,0,9361.5,Future,
0,Sell,1,0,0,9362,Future,
0,Sell,1,0,0,9362,Future,
0,Sell,2,0,0,9362,Future,
0,Sell,1,0,0,9362,Future,
0,Sell,1,0,0,9361,Future,
0,Sell,1,0,0,9361,Future,
0,Sell,3,0,0,9361,Future,
0,Buy,25,0,0,9383,Future,
0,Sell,1,0,0,9347,Future,
0,Sell,4,0,0,9347,Future,
0,Sell,1,0,0,9347,Future,
0,Sell,4,0,0,9347,Future,
0,Sell,1,0,0,9344.5,Future,
0,Sell,2,0,0,9344.5,Future,
0,Sell,2,0,0,9344.5,Future,
0,Sell,1,0,0,9342,Future,
0,Sell,2,0,0,9342,Future,
0,Sell,1,0,0,9342,Future,
0,Sell,1,0,0,9342,Future,
0,Sell,2,0,0,9342,Future,
0,Sell,1,0,0,9342,Future,
0,Sell,2,0,0,9342,Future,
0,Sell,5,0,0,9343,Future,
0,Sell,1,0,0,9343,Future,
0,Sell,2,0,0,9343,Future,
0,Sell,2,0,0,9343,Future,
0,Buy,2,0,0,9372,Future,
0,Buy,2,0,0,9372,Future,
0,Buy,1,0,0,9372,Future,
0,Buy,1,0,0,9371,Future,
0,Buy,3,0,0,9371,Future,
0,Buy,1,0,0,9371,Future,
0,Sell,1,0,0,9357.5,Future,
0,Sell,4,0,0,9357,Future,
0,Sell,1,0,0,9356.5,Future,
0,Sell,3,0,0,9355,Future,
0,Sell,1,0,0,9355,Future,
0,Sell,1,0,0,9354.5,Future,
0,Sell,2,0,0,9354.5,Future,
0,Sell,1,0,0,9354.5,Future,
0,Sell,1,0,0,9354.5,Future,
0,Buy,30,0,0,9411.4,Future,
