Buy_Sell,ComType,Strike_Price,Traded_Qty,Traded_Price
Sell,Option,2925,1,12
Sell,Option,2925,1,11.8
Sell,Option,2925,1,14.3
Sell,Option,2925,1,14.5
Buy,Option,73,1,0.2
Sell,Option,71,1,0.53
Sell,Option,73.5,2,0.17
Sell,Option,73.5,2,0.16
Buy,Option,69,1,1.19
Buy,Option,71,1,0.49
Buy,Option,69,1,1.15
Buy,Option,69,1,1.14
Sell,Option,71,1,0.52
Buy,Option,69,1,1.03
Buy,Option,71,2,0.41
Sell,Option,72.5,2,0.21
Sell,Option,72.5,1,0.21
Sell,Option,72.5,2,0.21
Buy,Option,70,2,0.64
Buy,Option,68,1,1.76
Buy,Option,67,1,1.96
Buy,Option,67,1,1.95
Buy,Option,68,1,1.88
Buy,Option,68,1,1.87
Buy,Option,67,1,1.86
Buy,Option,67,1,1.86
Buy,Option,67,1,1.94
Buy,Option,68,1,1.83
Buy,Option,68,1,1.86
Buy,Option,66,2,1.02
Buy,Option,66,1,1
Buy,Option,66,2,1
Buy,Option,66,1,1.02
Buy,Option,66,1,1
Sell,Option,68,1,1.82
Sell,Option,67,1,1.9
Sell,Option,68,1,1.88
Sell,Option,67,1,1.82
Sell,Option,68,1,1.69
Sell,Option,67,1,1.96
Sell,Option,67,1,1.96
Buy,Option,69,1,0.86
Sell,Option,68,1,1.55
Sell,Option,67,1,2.02
Buy,Option,66,1,0.84
Sell,Option,68,1,1.48
Sell,Option,69,1,1.16
Sell,Option,69,1,1.16
Sell,Option,69,1,1.14
Sell,Option,69,1,1.16
Sell,Option,69,1,1.16
Sell,Option,70,1,0.79
Sell,Option,71,1,0.52
Sell,Option,69,1,1.15
Buy,Option,69,1,0.92
Buy,Option,70,1,0.61
Buy,Future,0,1,67.48
Buy,Future,0,1,67.54
Buy,Future,0,1,67.51
Buy,Future,0,1,67.53
Buy,Future,0,1,67.58
Buy,Future,0,1,67.46
Sell,Future,0,1,67.69
Sell,Future,0,1,67.52
Sell,Future,0,1,67.67
Sell,Future,0,1,67.71
Sell,Future,0,1,67.44
Sell,Future,0,1,67.52
Sell,Future,0,1,67.57
Sell,Future,0,1,67.56
Sell,Future,0,1,67.54
Sell,Future,0,1,67.59
