Buy_Sell,ComType,Strike_Price,Traded_Qty,Traded_Price
Sell,Future,0,1,67.52
Sell,Future,0,1,67.44
Sell,Future,0,1,67.7
Sell,Future,0,1,67.7
Sell,Future,0,1,67.75
Sell,Future,0,1,67.85
Sell,Future,0,1,67.74
Sell,Future,0,1,67.94
Buy,Future,0,1,67.61
Sell,Future,0,1,67.88
Sell,Future,0,1,67.91
Sell,Future,0,1,67.91
Sell,Future,0,1,68.21
Sell,Future,0,1,68.24
Sell,Future,0,1,68.19
Sell,Future,0,1,68.22
Buy,Future,0,1,67.5
Buy,Future,0,1,67.5
Buy,Option,3.5,2,0.03
Buy,Option,3.5,1,0.02
Buy,Option,3.5,1,0.02
Buy,Option,3.5,1,0.013
Buy,Option,3.55,1,0.016
Sell,Option,3.4,3,0.009
Buy,Option,3.6,1,0.022
Buy,Option,3.6,1,0.022
Buy,Option,3.6,1,0.023
Buy,Option,3.6,1,0.024
Buy,Option,3.6,1,0.024
Buy,Option,3.6,1,0.024
Sell,Option,3.3,2,0.008
Sell,Option,3.3,1,0.008
Sell,Future,0,1,2902.2
Sell,Future,0,1,2899.5
Buy,Future,0,1,2899.2
Sell,Future,0,1,2899.1
Sell,Future,0,1,2903.4
Sell,Future,0,1,2898
Buy,Future,0,1,2896.4
Buy,Future,0,1,2896.9
Sell,Future,0,1,2896.5
Buy,Future,0,1,2907
Buy,Future,0,1,2906.5
Sell,Future,0,1,2900.3
Sell,Future,0,1,2903.1
Buy,Future,0,1,2900.4
Sell,Future,0,1,2901.3
Buy,Future,0,1,2901.8
Sell,Future,0,1,2925.1
Sell,Future,0,1,2924.5
Sell,Future,0,1,2925
Sell,Future,0,1,2924.2
Buy,Future,0,1,2924.1
Buy,Future,0,1,2924.2
Buy,Future,0,1,2923.8
Buy,Future,0,1,2923.4
Sell,Future,0,1,2924.3
Sell,Future,0,1,2925.2
Buy,Future,0,1,2923.5
Sell,Future,0,1,2926.6
Buy,Future,0,1,2924
Buy,Future,0,1,2938.7
Sell,Future,0,1,2939.4
Buy,Future,0,1,2936.7
Buy,Future,0,1,2936.3
Buy,Future,0,1,2935.4
Sell,Future,0,1,2937.4
Sell,Future,0,1,2937.8
Buy,Future,0,1,2936.4
Buy,Future,0,1,2936.8
Sell,Future,0,1,2937.6
Sell,Future,0,1,2937.5
Buy,Future,0,1,2936
Buy,Future,0,1,2936.5
Sell,Future,0,1,2937.2
Sell,Future,0,1,2938.2
Buy,Future,0,1,2936.7
Buy,Future,0,1,2936.5
Sell,Future,0,1,2937.8
Buy,Future,0,1,2936.4
Sell,Future,0,1,2935.7
Buy,Future,0,1,2934.5
Sell,Future,0,1,2934.8
Sell,Future,0,1,2934
Sell,Future,0,1,2935.5
Sell,Future,0,1,2936
Sell,Future,0,1,2937.2
Buy,Future,0,1,2934.9
Buy,Future,0,1,2934.4
Buy,Future,0,1,2936.2
Sell,Future,0,1,2935.7
Buy,Future,0,1,2933
Buy,Future,0,1,2934
Buy,Future,0,1,2935.5
Buy,Future,0,1,2935.8
Buy,Future,0,1,2936.6
Sell,Future,0,1,2937.3
Sell,Future,0,1,2937
Buy,Future,0,1,2936
Sell,Future,0,1,2936.8
Sell,Future,0,1,2933.3
Sell,Future,0,1,2934.5
Buy,Future,0,1,2934
Buy,Future,0,1,2932.3
Sell,Future,0,1,2927
Sell,Future,0,1,2926.8
Buy,Future,0,1,2926.8
Buy,Future,0,1,2926.4
Sell,Future,0,1,2927.7
Sell,Future,0,1,2926.5
Buy,Future,0,1,2926.8
Buy,Future,0,1,2926.6
Buy,Future,0,1,2929.7
Sell,Future,0,1,2931.5
Buy,Future,0,1,2930.8
Sell,Future,0,1,2931.6
Buy,Future,0,1,2930.8
Sell,Future,0,1,2931.8
Sell,Future,0,1,2933.4
Sell,Future,0,1,2933
Sell,Future,0,1,2932.6
Sell,Future,0,1,2931.3
Sell,Future,0,1,2931.6
Buy,Future,0,1,2930.6
Buy,Future,0,1,2930.3
Buy,Future,0,1,2931.5
Buy,Future,0,1,2932.1
Buy,Future,0,1,2932
Buy,Future,0,1,2931
Sell,Future,0,1,2932.8
Sell,Future,0,1,2933.5
Sell,Future,0,1,2933.8
Buy,Future,0,1,2925.1
Buy,Future,0,1,2925.4
Sell,Future,0,1,2926.8
Sell,Future,0,1,2929.4
Sell,Future,0,1,2930.7
Sell,Future,0,1,2931.3
Sell,Future,0,1,2931.4
Buy,Future,0,1,2930.4
Buy,Future,0,1,2930
Sell,Future,0,1,2929.5
Buy,Future,0,1,2928.4
Buy,Future,0,1,2928.3
Sell,Future,0,25,9377.25
Sell,Future,0,30,9410
Sell,Future,0,1,9363
Sell,Future,0,1,9363
Sell,Future,0,1,9363
Sell,Future,0,1,9360.5
Sell,Future,0,1,9360.5
Sell,Future,0,1,9361
Sell,Future,0,1,9361.5
Sell,Future,0,1,9361
Sell,Future,0,1,9361.5
Sell,Future,0,1,9361
Sell,Future,0,2,9361.5
Sell,Future,0,1,9361.5
Sell,Future,0,2,9361.5
Sell,Future,0,1,9362
Sell,Future,0,1,9362
Sell,Future,0,2,9362
Sell,Future,0,1,9362
Sell,Future,0,1,9361
Sell,Future,0,1,9361
Sell,Future,0,3,9361
Buy,Future,0,25,9383
Sell,Future,0,1,9347
Sell,Future,0,4,9347
Sell,Future,0,1,9347
Sell,Future,0,4,9347
Sell,Future,0,1,9344.5
Sell,Future,0,2,9344.5
Sell,Future,0,2,9344.5
Sell,Future,0,1,9342
Sell,Future,0,2,9342
Sell,Future,0,1,9342
Sell,Future,0,1,9342
Sell,Future,0,2,9342
Sell,Future,0,1,9342
Sell,Future,0,2,9342
Sell,Future,0,5,9343
Sell,Future,0,1,9343
Sell,Future,0,2,9343
Sell,Future,0,2,9343
Buy,Future,0,2,9372
Buy,Future,0,2,9372
Buy,Future,0,1,9372
Buy,Future,0,1,9371
Buy,Future,0,3,9371
Buy,Future,0,1,9371
Sell,Future,0,1,9357.5
Sell,Future,0,4,9357
Sell,Future,0,1,9356.5
Sell,Future,0,3,9355
Sell,Future,0,1,9355
Sell,Future,0,1,9354.5
Sell,Future,0,2,9354.5
Sell,Future,0,1,9354.5
Sell,Future,0,1,9354.5
Buy,Future,0,30,9411.4
